1,0,1,0,1,0.756,0,0,-0.3786,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,1,0,0,0.645,0,0,0.7717,0,1,1,7,0,1,1,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0.842,0,0,0.5542,0,1,2,5,0,1,4,2,1,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
1,1,1,0,0,1,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0.896,0,0,-0.296,0,1,0,7,0,0,3,1,0,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0.632,0,0,-0.6249,0,1,0,5,0,1,5,1,1,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0.896,0,0,-0.296,0,1,0,7,0,0,3,1,0,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1
1,0,1,0,0,0.712,0,0,0.7065,0,0,1,6,0,2,1,1,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0.712,0,0,0.7065,0,0,1,6,0,2,1,1,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0.712,0,0,0.7065,0,0,1,6,0,2,1,1,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0.712,0,0,0.7065,0,0,1,6,0,2,1,1,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0.842,0,0,0.5542,0,1,2,5,0,1,4,2,1,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,1
0,1,1,0,1,0.728,0,0,0.4574,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,1
